复盘日,成稿文件,关键词,密度,前排中位赞,审核分,指标,预测低,预测高,实际,判定,倍数
2026-08-13,成稿_2026-08-08_同一道题两个答案.md,第三轮hr面试一般会问什么,中,431.5,86,观看,350,900,159,高估,0.45
2026-08-13,成稿_2026-08-08_同一道题两个答案.md,第三轮hr面试一般会问什么,中,431.5,86,点赞,7,38,3,高估,0.43
2026-08-13,成稿_2026-08-08_同一道题两个答案.md,第三轮hr面试一般会问什么,中,431.5,86,收藏,4,38,1,高估,0.25
2026-08-13,成稿_2026-08-08_同一道题两个答案.md,第三轮hr面试一般会问什么,中,431.5,86,评论,1,8,0,高估,0.0
2026-08-13,成稿_2026-08-08_同一道题两个答案.md,第三轮hr面试一般会问什么,中,431.5,86,转发,1,6,0,高估,0.0
2026-08-13,成稿_2026-08-08_同一道题两个答案.md,第三轮hr面试一般会问什么,中,431.5,86,CES,19,132,4,高估,0.21
2026-08-13,成稿_2026-08-11_汇报被打断.md,汇报被领导打断怎么接,低,8.0,86,观看,250,600,61,高估,0.24
2026-08-13,成稿_2026-08-11_汇报被打断.md,汇报被领导打断怎么接,低,8.0,86,点赞,3,19,5,命中,1.0
2026-08-13,成稿_2026-08-11_汇报被打断.md,汇报被领导打断怎么接,低,8.0,86,收藏,2,19,5,命中,1.0
2026-08-13,成稿_2026-08-11_汇报被打断.md,汇报被领导打断怎么接,低,8.0,86,评论,0,4,0,命中,1.0
2026-08-13,成稿_2026-08-11_汇报被打断.md,汇报被领导打断怎么接,低,8.0,86,转发,0,3,0,命中,1.0
2026-08-13,成稿_2026-08-11_汇报被打断.md,汇报被领导打断怎么接,低,8.0,86,CES,5,66,10,命中,1.0
2026-08-13,成稿_2026-08-08_新领导空降先给你贴标签.md,空降新老板前30天怎么站稳,低,66.5,90,观看,325,780,19,高估,0.06
2026-08-13,成稿_2026-08-08_新领导空降先给你贴标签.md,空降新老板前30天怎么站稳,低,66.5,90,点赞,6,33,0,高估,0.0
2026-08-13,成稿_2026-08-08_新领导空降先给你贴标签.md,空降新老板前30天怎么站稳,低,66.5,90,收藏,4,33,0,高估,0.0
2026-08-13,成稿_2026-08-08_新领导空降先给你贴标签.md,空降新老板前30天怎么站稳,低,66.5,90,评论,1,7,0,高估,0.0
2026-08-13,成稿_2026-08-08_新领导空降先给你贴标签.md,空降新老板前30天怎么站稳,低,66.5,90,转发,0,5,0,命中,1.0
2026-08-13,成稿_2026-08-08_新领导空降先给你贴标签.md,空降新老板前30天怎么站稳,低,66.5,90,CES,14,114,0,高估,0.0
2026-08-13,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,观看,250,600,104,高估,0.42
2026-08-13,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,点赞,3,19,0,高估,0.0
2026-08-13,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,收藏,2,19,1,高估,0.5
2026-08-13,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,评论,0,4,0,命中,1.0
2026-08-13,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,转发,0,3,0,命中,1.0
2026-08-13,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,CES,5,66,1,高估,0.2
2026-08-14,成稿_2026-08-04_领导不回三种情况.md,领导不回消息该不该追问,低,111.0,86,观看,250,600,69,高估,0.28
2026-08-14,成稿_2026-08-04_领导不回三种情况.md,领导不回消息该不该追问,低,111.0,86,点赞,3,19,0,高估,0.0
2026-08-14,成稿_2026-08-04_领导不回三种情况.md,领导不回消息该不该追问,低,111.0,86,收藏,2,19,0,高估,0.0
2026-08-14,成稿_2026-08-04_领导不回三种情况.md,领导不回消息该不该追问,低,111.0,86,评论,0,4,0,命中,1.0
2026-08-14,成稿_2026-08-04_领导不回三种情况.md,领导不回消息该不该追问,低,111.0,86,转发,0,3,0,命中,1.0
2026-08-14,成稿_2026-08-04_领导不回三种情况.md,领导不回消息该不该追问,低,111.0,86,CES,5,66,0,高估,0.0
2026-08-14,成稿_2026-08-05_轻视第二回合.md,职场被孤立怎么办,中,438.5,88,观看,350,900,58,高估,0.17
2026-08-14,成稿_2026-08-05_轻视第二回合.md,职场被孤立怎么办,中,438.5,88,点赞,4,28,2,高估,0.5
2026-08-14,成稿_2026-08-05_轻视第二回合.md,职场被孤立怎么办,中,438.5,88,收藏,2,28,0,高估,0.0
2026-08-14,成稿_2026-08-05_轻视第二回合.md,职场被孤立怎么办,中,438.5,88,评论,0,6,2,命中,1.0
2026-08-14,成稿_2026-08-05_轻视第二回合.md,职场被孤立怎么办,中,438.5,88,转发,0,4,0,命中,1.0
2026-08-14,成稿_2026-08-05_轻视第二回合.md,职场被孤立怎么办,中,438.5,88,CES,6,96,10,命中,1.0
2026-08-14,成稿_2026-08-07_空降后下属不服管.md,空降新老板前30天怎么站稳,低,66.5,86,观看,250,600,19,高估,0.08
2026-08-14,成稿_2026-08-07_空降后下属不服管.md,空降新老板前30天怎么站稳,低,66.5,86,点赞,5,25,0,高估,0.0
2026-08-14,成稿_2026-08-07_空降后下属不服管.md,空降新老板前30天怎么站稳,低,66.5,86,收藏,3,25,0,高估,0.0
2026-08-14,成稿_2026-08-07_空降后下属不服管.md,空降新老板前30天怎么站稳,低,66.5,86,评论,0,5,0,命中,1.0
2026-08-14,成稿_2026-08-07_空降后下属不服管.md,空降新老板前30天怎么站稳,低,66.5,86,转发,0,4,0,命中,1.0
2026-08-14,成稿_2026-08-07_空降后下属不服管.md,空降新老板前30天怎么站稳,低,66.5,86,CES,8,86,0,高估,0.0
2026-08-14,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,观看,250,600,104,高估,0.42
2026-08-14,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,点赞,3,19,0,高估,0.0
2026-08-14,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,收藏,2,19,1,高估,0.5
2026-08-14,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,评论,0,4,0,命中,1.0
2026-08-14,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,转发,0,3,0,命中,1.0
2026-08-14,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分怎么开口,低,125.5,86,CES,5,66,1,高估,0.2
